iter	Passed	Remaining
0	0	19
1	0	22
2	1	50
3	1	41
4	1	36
5	2	32
6	2	29
7	2	27
8	2	26
9	2	24
10	2	23
11	3	23
12	3	22
13	3	21
14	3	21
15	3	20
16	4	20
17	4	20
18	4	19
19	4	19
20	4	18
21	5	18
22	5	17
23	5	17
24	5	16
25	5	16
26	5	16
27	6	15
28	6	15
29	6	15
30	6	14
31	6	14
32	7	14
33	7	14
34	7	13
35	7	13
36	7	13
37	7	12
38	8	12
39	8	12
40	8	12
41	8	12
42	8	11
43	8	11
44	9	11
45	9	10
46	9	10
47	9	10
48	9	10
49	10	10
50	10	9
51	10	9
52	10	9
53	10	9
54	10	8
55	11	8
56	11	8
57	11	8
58	11	8
59	11	7
60	11	7
61	12	7
62	12	7
63	12	7
64	12	6
65	12	6
66	13	6
67	13	6
68	13	6
69	13	5
70	13	5
71	13	5
72	14	5
73	14	5
74	14	4
75	14	4
76	14	4
77	15	4
78	15	4
79	15	3
80	15	3
81	16	3
82	16	3
83	16	3
84	16	2
85	16	2
86	17	2
87	17	2
88	17	2
89	17	1
90	17	1
91	18	1
92	18	1
93	18	1
94	18	0
95	18	0
96	19	0
97	19	0
98	19	0
99	19	0
